MSOA_Code,MSOA_Name,house_mean_price,crime_rate,PM_index,education
E02000001,City of London 001,533880,n/a,118,473.6
E02000002,Barking and Dagenham 001,191292,77,95,500.8
E02000003,Barking and Dagenham 002,197186,77,97,503.2
E02000004,Barking and Dagenham 003,204192,44,94,435.6
E02000005,Barking and Dagenham 004,164694,68,96,449.7
E02000006,Barking and Dagenham 005,178873,80,97,423.1
E02000007,Barking and Dagenham 006,162070,102,96,416.1
E02000008,Barking and Dagenham 007,164201,66,97,450.5
E02000009,Barking and Dagenham 008,173778,75,97,424.9
E02000010,Barking and Dagenham 009,162143,59,96,424.7
E02000011,Barking and Dagenham 010,175126,76,95,452.3
E02000012,Barking and Dagenham 011,263904,63,98,480.8
E02000013,Barking and Dagenham 012,178230,64,96,405.7
E02000014,Barking and Dagenham 013,166373,92,97,414.5
E02000015,Barking and Dagenham 014,139275,103,95,398.8
E02000016,Barking and Dagenham 015,142092,203,102,429.6
E02000017,Barking and Dagenham 016,202605,80,98,427.6
E02000018,Barking and Dagenham 017,159327,75,98,426.2
E02000019,Barking and Dagenham 018,165225,106,100,414
E02000020,Barking and Dagenham 019,190549,91,97,427.6
E02000021,Barking and Dagenham 020,155156,82,97,438.9
E02000022,Barking and Dagenham 021,135121,101,102,406
E02000023,Barking and Dagenham 022,144105,73,99,419.9
E02000024,Barnet 001,445974,68,94,526.2
E02000025,Barnet 002,342566,54,94,470
E02000026,Barnet 003,360055,38,94,437.1
E02000027,Barnet 004,312581,59,94,442.5
E02000028,Barnet 005,414004,58,96,495.1
E02000029,Barnet 006,321315,66,95,441
E02000030,Barnet 007,888333,43,95,492
E02000031,Barnet 008,480952,70,96,473.2
E02000032,Barnet 009,433381,37,96,529.9
E02000033,Barnet 010,309260,64,96,438.6
E02000034,Barnet 011,360595,53,96,472
E02000035,Barnet 012,388709,38,95,486.5
E02000036,Barnet 013,352538,48,100,451.4
E02000037,Barnet 014,388175,45,96,454.2
E02000038,Barnet 015,377501,64,99,492.9
E02000039,Barnet 016,540210,75,101,451.4
E02000040,Barnet 017,443234,55,95,438.6
E02000041,Barnet 018,349970,96,97,483.7
E02000042,Barnet 019,326802,78,99,518.5
E02000043,Barnet 020,530722,31,95,489
E02000044,Barnet 021,320511,46,97,430.9
E02000045,Barnet 022,298037,83,101,430.2
E02000046,Barnet 023,420041,63,99,472.2
E02000047,Barnet 024,223861,69,97,450.1
E02000048,Barnet 025,416263,59,98,483.5
E02000049,Barnet 026,246128,50,97,414.4
E02000050,Barnet 027,362022,71,101,453.9
E02000051,Barnet 028,550503,65,102,451.9
E02000052,Barnet 029,439980,57,99,434.7
E02000053,Barnet 030,272365,59,98,454.8
E02000054,Barnet 031,351717,47,103,468.1
E02000055,Barnet 032,481519,83,101,469.4
E02000056,Barnet 033,1241697,51,99,458.9
E02000057,Barnet 034,476350,56,105,438.1
E02000058,Barnet 035,763868,64,100,517.3
E02000059,Barnet 036,254626,60,100,428.1
E02000060,Barnet 037,619976,45,105,496.6
E02000061,Barnet 038,1078587,100,100,490.1
E02000062,Barnet 039,292896,231,107,444.7
E02000063,Barnet 040,351051,48,102,463.2
E02000064,Barnet 041,822495,67,102,466.5
E02000065,Bexley 001,145689,62,94,453.5
E02000066,Bexley 002,156419,82,96,446.1
E02000067,Bexley 003,145994,59,95,456.5
E02000068,Bexley 004,156855,87,96,433.8
E02000069,Bexley 005,191085,35,95,472.9
E02000070,Bexley 006,222005,29,96,461.2
E02000071,Bexley 007,202083,44,95,476.3
E02000072,Bexley 008,145992,77,94,381.3
E02000073,Bexley 009,251582,25,96,496.7
E02000074,Bexley 010,159160,52,96,433.5
E02000075,Bexley 011,259325,21,95,505.9
E02000076,Bexley 012,218449,50,96,488
E02000077,Bexley 013,220409,28,95,447.1
E02000078,Bexley 014,216909,29,94,485.3
E02000079,Bexley 015,230850,135,97,514
E02000080,Bexley 016,227068,53,97,507.1
E02000081,Bexley 017,215190,46,96,475.9
E02000082,Bexley 018,246040,29,98,526
E02000083,Bexley 019,191657,61,96,419.3
E02000084,Bexley 020,267509,28,99,478.4
E02000085,Bexley 021,244201,39,99,459.8
E02000086,Bexley 022,275385,27,95,482
E02000087,Bexley 023,320176,38,97,542.3
E02000088,Bexley 024,280631,26,95,490.3
E02000089,Bexley 025,294110,27,96,465.2
E02000090,Bexley 026,240934,60,97,494.4
E02000091,Bexley 027,264403,40,96,464.4
E02000092,Bexley 028,237352,58,94,430.8
E02000093,Brent 001,304480,58,96,461.9
